X_feat1,X_feat2,Y_func
0.773112779,0.428001038,1.190140333
0.503162715,0.109232121,0.621474686
0.946284435,0.139412624,1.018515058
0.355721921,0.311420197,0.669829625
0.55263553,0.084556571,0.612513511
0.084942346,0.562949515,0.716569717
0.208243253,0.107494756,0.375413242
0.242426237,0.379187904,0.69751893
0.372871286,0.85707258,1.174913119
0.119660305,0.61949829,0.77306471
0.821772588,0.224173852,1.003056224
0.4191722,0.857119419,1.178777667
0.243101871,0.414009431,0.70625044
0.32491123,0.716669207,0.999966697
0.693038334,0.616775862,1.245129048
0.461370462,0.183063818,0.627431299
0.673047053,0.934252107,1.43524294
0.521619722,0.715925634,1.218512877
0.53674959,0.433211038,0.977651794
0.684336076,0.505871078,1.202488092
0.693369797,0.785729391,1.364579208
0.276131747,0.985012406,1.136215149
0.746331806,0.325605064,1.052469281
0.767514802,0.169019552,0.924544296
0.440163261,0.518538733,0.931858049
0.680260977,0.065559512,0.697624307
0.325635336,0.743241513,1.063671574
0.713116093,0.225756106,0.896446138
0.552859398,0.271196821,0.806035983
0.636182218,0.945268397,1.503520421
0.850920868,0.382772207,1.149593249
0.615070032,0.746285641,1.291824906
0.186678697,0.314027941,0.496072794
0.997044731,0.480694283,1.325128744
0.000621771,0.018659161,0.01999481
0.478665732,0.278000259,0.766568736
0.058789692,0.766687964,0.769591898
0.329956486,0.3789664,0.774957139
0.156185214,0.063478255,0.273872374
0.279163551,0.678725223,0.948536462
0.925569738,0.176115238,1.068660271
0.623477627,0.073944887,0.720968222
0.980425254,0.210248917,1.04019021
0.672685036,0.909596253,1.484406559
0.187276215,0.962593266,1.037861175
0.476596737,0.99227303,1.318192547
0.457525073,0.554430909,0.982193023
0.43999077,0.563836793,1.044070838
0.300937385,0.772782453,1.046242122
